filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
187208168.jpg	159	21	87.5917	17	17.8467	170	94.6042
1873032022.jpg	160	130	72.4307	21	34.2423	155	63.1164
187303203.jpg	161	0	64.1868	0	54.6374	0	22.8114
1873032035.jpg	162	113	76.8624	4	23.8114	28	66.8428
1873032047.jpg	163	10	97.9952	97	65.7124	42	20.1661
1873032049.jpg	164	16	86.4613	60	59.7274	18	55.872
1873032082.jpg	165	97	72.3918	11	43.8089	161	71.1522
1873050510.jpg	166	105	57.5358	40	57.3955	23	56.0623
187305058.jpg	167	0	67.8435	0	41.0536	0	20.2942
187305059.jpg	167	0	67.8435	0	41.0536	0	20.2942
18730820534.jpg	169	165	37.7771	0	10.2087	0	51.8771
18730820541.jpg	170	49	86.2295	49	37.6371	221	59.898
18730820547.jpg	171	193	71.7155	0	11.0973	0	107.2487
18730820550.jpg	172	238	75.2638	0	11.5748	0	53.8782
18730820554.jpg	173	142	62.6981	0	11.4371	0	77.1832
1874020564.jpg	174	94	56.2683	71	61.3064	22	58.902
1874030564.jpg	175	83	64.9462	120	39.6663	8	20.5869
1874030568.jpg	176	23	40.0231	69	46.6547	155	76.531
187403141.jpg	176	23	40.0231	69	46.6547	155	76.531
1874031440.jpg	178	166	77.0254	70	29.2219	202	21.3732
18740710272.jpg	179	97	80.1357	8	40.8901	70	53.3896
1874071081.jpg	180	149	54.4154	3	48.4993	20	59.3544
1874111016.jpg	181	199	51.0831	2	5.3106	42	53.5934
187411106.jpg	182	244	58.6176	0	8.9048	0	54.6525
187503092.jpg	183	235	39.7699	2	3.5376	106	70.9199
187503096.jpg	184	1	61.3154	0	45.4254	0	54.317
187503098.jpg	185	243	65.6575	0	9.4725	0	58.184
1875081013.jpg	186	19	43.0483	54	37.8373	70	45.5671
1875081019.jpg	187	0	72.8594	0	33.9529	0	47.6934
1875101215.jpg	188	243	35.4635	0	7.1628	0	50.4622
187511122.jpg	189	159	65.2541	0	20.528	0	66.9371
187705153.jpg	190	77	77.283	87	44.6612	192	26.2278
187708251.jpg	191	170	73.474	12	99.2745	28	62.9008
187712072.jpg	192	215	36.5656	0	0.7659	0	39.0412
187808291.jpg	193	0	94.1921	0	59.717	0	26.9649
1879011523.jpg	194	192	70.4057	0	6.323	0	42.7803
187906245.jpg	195	106	82.2614	65	22.4159	23	111.7348
187911204.jpg	196	149	56.1422	26	16.5614	179	111.9068
188006171700.jpg	197	45	41.3118	230	84.47	155	52.9219
188006171713.jpg	198	47	54.8696	10	45.291	23	40.0919
188007091.jpg	199	110	64.0885	12	57.375	113	15.1347
18800709107.jpg	200	139	76.6196	126	56.8454	18	16.1568
18800709108.jpg	201	0	56.711	0	45.9047	0	49.9525
18800709109.jpg	202	0	60.7629	0	71.0242	0	26.4128
1880070911.jpg	203	118	68.1568	90	59.7015	14	37.449
18800709112.jpg	204	0	63.3751	0	65.0028	0	22.6962
18800709113.jpg	205	95	67.1661	123	49.1719	12	29.1463
18800709114.jpg	206	137	66.4057	127	46.1808	15	25.1759
18800709115.jpg	207	131	75.2597	118	58.4993	14	27.4227
18800709119.jpg	208	141	68.3889	94	58.5599	27	27.4685
18800709120.jpg	209	113	66.0586	112	62.2939	13	25.3306
18800709121.jpg	210	135	68.0028	109	54.607	13	41.3511
18800709123.jpg	211	81	58.0949	147	55.5154	17	48.6189
1880070918.jpg	212	112	56.2294	44	48.9309	11	109.8169
1880070919.jpg	213	104	69.6852	37	37.2087	59	54.5112
188007092.jpg	214	147	81.0164	60	46.3331	22	52.1673
1880070920.jpg	215	140	73.2763	54	28.8636	229	118.297
1880070921.jpg	216	153	62.5622	80	48.0489	10	36.1925
1880070922.jpg	217	159	65.8629	7	10.7796	170	99.2119
1880070923.jpg	218	0	80.4833	0	59.1166	0	20.4088
1880070924.jpg	219	136	57.0358	135	43.3636	22	23.4956
1880070929.jpg	220	160	69.1416	100	42.6348	19	16.1322
1880070931.jpg	221	133	61.1278	125	45.2382	18	15.4282
188007094.jpg	222	133	69.1048	72	28.4624	11	58.0917
1880070940.jpg	223	139	57.0025	72	25.9706	9	34.9751
1880070941.jpg	224	76	85.5726	154	71.3929	15	18.7148
1880070942.jpg	225	94	87.5016	124	62.4936	13	28.851
1880070943.jpg	226	109	63.5508	20	56.7315	31	73.8231
1880070944.jpg	227	120	67.3036	90	62.981	27	33.5363
1880070945.jpg	228	134	68.519	127	50.6875	18	27.0809
1880070946.jpg	229	160	80.3285	17	13.5916	7	89.9706
1880070948.jpg	230	138	58.9991	26	47.5744	29	4.242
1880070949.jpg	231	70	76.7895	66	75.9303	24	27.8427
188007095.jpg	232	125	75.9577	42	57.0306	14	58.1701
