filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
MAS406.jpg	241	255	44.9397	0	35.6976	0	21.6627
MAS419.jpg	242	168	66.5653	12	32.3843	28	67.8077
MAS421.jpg	243	161	57.5798	7	27.5699	27	69.2756
MAS426.jpg	244	188	66.3872	10	27.8441	33	71.3354
MAS437.jpg	245	178	58.6468	3	28.6324	155	71.8436
MAS452.jpg	246	211	45.366	6	60.8377	20	72.096
MAS459.jpg	247	149	49.5846	82	47.9173	21	57.2363
MAS460.jpg	248	198	39.7177	25	16.9759	21	6.7583
MAS479.jpg	249	192	62.7413	0	32.6841	0	66.2841
MAS981.jpg	250	254	54.5357	2	18.7503	11	87.7434
MAS983.jpg	251	73	50.2964	66	45.5752	26	30.3669
MAS984.jpg	252	185	63.5383	6	25.8941	170	74.3335
MAS990.jpg	253	176	56.4442	11	32.4023	34	50.9361
PDFA200.jpg	254	125	41.8133	82	20.059	138	57.6614
